model,scenario_id,total_turns,scenario_type,recall,ccr
Naive,hold-out-F001,200,FORGETTING,0.6,-0.071
Naive,hold-out-F002,200,FORGETTING,0.7692307692307693,-0.083
Naive,hold-out-F003,200,FORGETTING,0.8,-0.11
Naive,hold-out-F004,200,FORGETTING,0.9230769230769231,-0.104
Naive,hold-out-F005,500,FORGETTING,0.25,0.558
Naive,hold-out-F006,500,FORGETTING,0.25,0.572
Naive,hold-out-F007,500,FORGETTING,0.25,0.57
Naive,hold-out-F008,500,FORGETTING,0.3076923076923077,0.584
Naive,hold-out-F009,1000,FORGETTING,0.0,0.779
Naive,hold-out-F010,1000,FORGETTING,0.0,0.786
Naive,hold-out-F011,1000,FORGETTING,0.0,0.78
Naive,hold-out-F012,1000,FORGETTING,0.0,0.776
Naive,hold-out-N001,200,NOISE_TOLERANCE,0.75,-0.134
Naive,hold-out-N002,200,NOISE_TOLERANCE,0.625,-0.06
Naive,hold-out-N003,200,NOISE_TOLERANCE,0.625,-0.037
Naive,hold-out-N004,200,NOISE_TOLERANCE,0.625,0.029
Naive,hold-out-N005,500,NOISE_TOLERANCE,0.25,0.563
Naive,hold-out-N006,500,NOISE_TOLERANCE,0.25,0.583
Naive,hold-out-N007,500,NOISE_TOLERANCE,0.25,0.596
Naive,hold-out-N008,500,NOISE_TOLERANCE,0.125,0.609
Naive,hold-out-N009,1000,NOISE_TOLERANCE,0.125,0.78
Naive,hold-out-N010,1000,NOISE_TOLERANCE,0.125,0.789
Naive,hold-out-N011,1000,NOISE_TOLERANCE,0.125,0.792
Naive,hold-out-N012,1000,NOISE_TOLERANCE,0.0,0.801
Naive,hold-out-U001,200,UPDATE_CONFLICT,0.625,-0.054
Naive,hold-out-U002,200,UPDATE_CONFLICT,0.625,-0.066
Naive,hold-out-U003,200,UPDATE_CONFLICT,0.625,-0.054
Naive,hold-out-U004,200,UPDATE_CONFLICT,0.6923076923076923,-0.061
Naive,hold-out-U005,500,UPDATE_CONFLICT,0.25,0.565
Naive,hold-out-U006,500,UPDATE_CONFLICT,0.23076923076923078,0.571
Naive,hold-out-U007,500,UPDATE_CONFLICT,0.3076923076923077,0.564
Naive,hold-out-U008,500,UPDATE_CONFLICT,0.25,0.584
Naive,hold-out-U009,1000,UPDATE_CONFLICT,0.07692307692307693,0.786
Naive,hold-out-U010,1000,UPDATE_CONFLICT,0.07692307692307693,0.782
Naive,hold-out-U011,1000,UPDATE_CONFLICT,0.15384615384615385,0.784
Naive,hold-out-U012,1000,UPDATE_CONFLICT,0.25,0.79
Naive,hold-out-F013,200,FORGETTING,0.625,-0.048
Naive,hold-out-F014,200,FORGETTING,1.0,-0.089
Naive,hold-out-F015,200,FORGETTING,0.9230769230769231,-0.07
Naive,hold-out-F016,200,FORGETTING,0.75,-0.056
Naive,hold-out-F017,500,FORGETTING,0.4,0.563
Naive,hold-out-F018,500,FORGETTING,0.3076923076923077,0.568
Naive,hold-out-F019,500,FORGETTING,0.55,0.582
Naive,hold-out-F020,500,FORGETTING,0.25,0.58
Naive,hold-out-F021,1000,FORGETTING,0.0,0.782
Naive,hold-out-F022,1000,FORGETTING,0.0,0.786
Naive,hold-out-F023,1000,FORGETTING,0.0,0.79
Naive,hold-out-F024,1000,FORGETTING,0.0,0.786
Naive,hold-out-N013,200,NOISE_TOLERANCE,0.625,-0.067
