scenario,gt_id,condition,similarity,outcome
hold-out-U001,gt_001,explicit,0.9095,SR
hold-out-U002,gt_006,explicit,0.8766,SR
hold-out-U002,gt_008,explicit,0.9279,C
hold-out-U003,gt_004,explicit,0.9471,C
hold-out-U003,gt_005,explicit,0.8436,SR
hold-out-U003,gt_007,explicit,0.9292,C
hold-out-U004,gt_010,explicit,0.9317,C
hold-out-U004,gt_007,explicit,0.9273,C
hold-out-U005,gt_003,explicit,0.9299,C
hold-out-U006,gt_004,explicit,0.904,SR
hold-out-U006,gt_002,explicit,0.886,SO
hold-out-U007,gt_004,explicit,0.8896,SR
hold-out-U007,gt_003,explicit,0.9311,C
hold-out-U007,gt_009,explicit,0.9419,C
hold-out-U008,gt_007,explicit,0.9209,C
hold-out-U008,gt_003,explicit,0.9042,SR
hold-out-U009,gt_005,explicit,0.8796,SR
hold-out-U010,gt_006,explicit,0.9121,SR
hold-out-U010,gt_005,explicit,0.9077,SR
hold-out-U011,gt_007,explicit,0.9036,SR
hold-out-U011,gt_012,explicit,0.899,SR
hold-out-U011,gt_005,explicit,0.8928,SR
hold-out-U012,gt_004,explicit,0.8783,SO
hold-out-U012,gt_007,explicit,0.9213,C
hold-out-U012,gt_008,explicit,0.9275,C
hold-out-U013,gt_002,explicit,0.8872,SR
hold-out-U014,gt_011,explicit,0.9318,C
hold-out-U015,gt_004,explicit,0.9334,C
hold-out-U015,gt_001,explicit,0.9107,SR
hold-out-U016,gt_012,explicit,0.8599,SR
hold-out-U016,gt_009,explicit,0.9131,SR
hold-out-U016,gt_004,explicit,0.9094,SR
hold-out-U017,gt_005,explicit,0.8906,SR
hold-out-U018,gt_004,explicit,0.9198,SR
hold-out-U018,gt_008,explicit,0.8866,SR
hold-out-U018,gt_007,explicit,0.8708,SR
hold-out-U019,gt_010,explicit,0.8895,SR
hold-out-U020,gt_004,explicit,0.9453,C
hold-out-U020,gt_005,explicit,0.865,SO
hold-out-U021,gt_008,explicit,0.9184,SO
hold-out-U021,gt_004,explicit,0.8859,SR
hold-out-U022,gt_004,explicit,0.9113,SR
hold-out-U023,gt_006,explicit,0.8473,SR
hold-out-U023,gt_001,explicit,0.9095,SR
hold-out-U024,gt_006,explicit,0.9011,SO
hold-out-U001_impT1,gt_001,T1,0.9303,C
hold-out-U002_impT2,gt_006,T2,0.8625,SR
hold-out-U002_impT2,gt_008,T2,0.9447,SO
hold-out-U003_impT3,gt_004,T3,0.9486,C
hold-out-U003_impT3,gt_005,T3,0.8539,SR
hold-out-U003_impT3,gt_007,T3,0.916,SO
hold-out-U004_impT1,gt_010,T1,0.9231,C
hold-out-U004_impT1,gt_007,T1,0.9185,SO
hold-out-U005_impT2,gt_003,T2,0.9252,C
hold-out-U006_impT3,gt_004,T3,0.8965,SR
hold-out-U006_impT3,gt_002,T3,0.8642,SO
hold-out-U007_impT1,gt_004,T1,0.8188,SR
hold-out-U007_impT1,gt_003,T1,0.919,SR
hold-out-U007_impT1,gt_009,T1,0.9358,C
hold-out-U008_impT2,gt_007,T2,0.9085,SR
hold-out-U008_impT2,gt_003,T2,0.908,SR
hold-out-U009_impT3,gt_005,T3,0.8855,SR
hold-out-U010_impT1,gt_006,T1,0.9229,C
hold-out-U010_impT1,gt_005,T1,0.88,SR
hold-out-U011_impT2,gt_007,T2,0.8895,SR
hold-out-U011_impT2,gt_012,T2,0.898,SO
hold-out-U011_impT2,gt_005,T2,0.8877,SR
hold-out-U012_impT3,gt_004,T3,0.8777,SO
hold-out-U012_impT3,gt_007,T3,0.9367,C
hold-out-U012_impT3,gt_008,T3,0.9205,C
